,Player,Position,Age,Height,Weight,GP
195,Connor McDavid,C,26,73,193,80.03857505321503
196,Connor McMichael,C,22,72,180,60.743560791015625
197,Connor Murphy,D,30,76,212,68.9486692212522
198,Conor Garland,R,27,70,165,78.32769024372101
199,Conor Sheary,L,31,69,179,77.04124855995178
200,Conor Timmins,D,25,74,202,58.66331100463867
201,Corey Perry,R,38,75,208,74.99032527208328
202,Corey Schueneman,D,28,71,197,42.973045349121094
203,Craig Smith,C,34,72,204,74.72704946994781
204,Curtis Lazar,C,28,72,203,63.613945960998535
205,Dakota Joshua,C,27,75,206,82.0
206,Dakota Mermis,D,29,72,195,39.916107177734375
207,Damien Giroux,C,23,70,179,56.80123519897461
208,Damon Severson,D,29,74,205,79.56306183338165
209,Dan Renouf,D,29,73,198,39.78632736206055
210,Daniel Sprong,R,26,72,202,73.2605479558309
211,Daniil Miromanov,D,26,76,200,51.77263641357422
212,Danil Gushchin,L,21,68,165,62.44328689575195
213,Dante Fabbro,D,25,72,189,71.02411639690399
214,Danton Heinen,L,28,73,188,72.37949061393738
215,Darnell Nurse,D,28,76,221,79.49023358151317
216,Darren Helm,C,36,72,192,38.058258056640625
217,Darren Raddysh,D,27,73,200,50.556060791015625
218,David Gust,R,29,70,177,48.78873825073242
219,David Gustafsson,C,23,74,212,70.36762809753418
220,David Jiricek,D,19,76,199,53.44297409057617
221,David Kampf,C,28,74,197,81.48233379609883
222,David Krejci,C,37,72,192,72.18047666549683
223,David Pastrnak,R,27,73,195,77.00594711303711
224,David Perron,L,35,73,196,78.32939612865448
225,David Savard,D,32,73,235,76.19981336593628
226,Dawson Mercer,C,21,72,180,82.0
227,Denis Gurianov,R,26,75,205,75.65368318557739
228,Denis Malgin,C,26,69,182,77.5320816040039
229,Dennis Cholowski,D,25,74,210,44.32191848754883
230,Dennis Gilbert,D,26,74,216,54.4174690246582
231,Derek Forbort,D,31,76,208,78.51261631647746
232,Derek Grant,C,33,75,210,53.85798215866089
233,Derek Ryan,C,36,70,185,74.46323093771935
234,Derek Stepan,C,33,71,196,73.32405757904053
235,Derick Brassard,C,36,73,200,65.12583255767822
236,Derrick Pouliot,D,29,72,196,43.154441833496094
237,Devin Shore,C,29,73,206,60.54123497009277
238,Devon Toews,D,29,73,191,76.05991524457932
239,Dillon Dube,C,25,71,185,76.36997556686401
240,Dillon Heatherington,D,28,76,215,42.68903350830078
241,Dmitri Samorukov,D,24,75,188,47.33551788330078
242,Dmitry Kulikov,D,32,73,201,66.61714959144592
243,Dmitry Orlov,D,32,71,214,76.43337273597717
244,Dominic Toninato,C,29,74,191,47.293766021728516
245,Dominik Kubalik,L,28,74,190,79.73128724470735
246,Dougie Hamilton,D,30,78,230,68.38178622722626
247,Drake Batherson,R,25,75,200,82.0
248,Drake Caggiula,C,29,70,176,48.90924835205078
249,Drew Doughty,D,33,73,210,80.81009912490845
250,Drew Helleson,D,22,75,190,49.8214111328125
251,Drew O'Connor,L,25,75,200,67.85832595825195
252,Dryden Hunt,L,27,72,193,62.25907897949219
253,Dylan Coghlan,D,25,74,208,52.73677444458008
254,Dylan Cozens,C,22,75,195,79.49047406514485
255,Dylan DeMelo,D,30,72,195,70.79786705970764
256,Dylan Gambrell,C,27,71,185,69.41090250015259
257,Dylan Guenther,R,20,74,175,78.4574089050293
258,Dylan Holloway,L,22,73,203,75.54679679870605
259,Dylan Larkin,C,27,73,198,75.33607423305511
260,Dylan McIlrath,D,31,77,232,40.68159103393555
261,Dylan Samberg,D,24,76,219,75.22947406768799
262,Dylan Strome,C,26,75,200,72.98149037361145
263,Dysin Mayo,D,27,74,183,51.228240966796875
264,Eeli Tolvanen,R,24,70,191,74.67284329732259
265,Eetu Luostarinen,C,25,75,190,78.8452598253886
266,Egor Afanasyev,L,22,76,211,61.73043441772461
267,Egor Sokolov,L,23,75,222,53.372642517089844
268,Egor Zamula,D,23,75,177,55.87046813964844
269,Elias Lindholm,C,28,73,202,81.48128724470735
270,Elias Pettersson,C,24,74,176,82.0
271,Elliot Desnoyers,L,21,71,183,61.049373626708984
272,Elmer Soderblom,L,22,80,246,57.90458297729492
273,Emil Bemstrom,R,24,72,195,74.46601676940918
274,Eric Robinson,L,28,74,205,73.62917447090149
275,Eric Staal,C,38,76,195,73.14173722267151
276,Erik Brannstrom,D,24,70,185,64.20896875858307
