,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60,PP A2/60,PK A2/60,GOALS,PRIMARY ASSISTS,SECONDARY ASSISTS,POINTS
263,Vasily Podkolzin,R,21.3,73,190,1.1624140599999997,0.3522350399999998,0.7139908876425876,1.422833961540186,0.3460536582409113,0.5780933817957169,78.27420000000002,13.083579210000003,1.2578023320530582,0.3171071504336478,0.3993410400999117,1.4172510567228054,0.08217584947367662,15.53092991201413,13.075948996198449,9.73136520947075,38.33824411768333
264,Jonathan Dahlen,C,24.8,71,180,1.819370670000001,0.1605972199999999,0.8326612258700524,1.283231042583677,0.4746317017687436,0.7364027348704741,70.38439999999999,12.225663070000005,1.0520910649856703,0.2024368468129515,0.406272779787271,1.2133263322365009,0.1556436157822662,16.162321379317824,13.615645949509481,8.523549001561044,38.30151633038835
265,Matty Beniers,C,19.9,74,178,2.0084702500000002,0.5502378499999998,0.6759110905698842,1.3929533121824476,0.38992167555004903,0.6271495663509112,69.30239999999999,12.878997870000003,1.4168334239870997,0.3893336249870557,0.4119683759496934,1.4197184188716987,0.17306815242257403,14.268830670620403,13.840735389175016,10.102633807629132,38.21219986742455
266,Noah Cates,L,23.7,73,165,0.46697205000000025,1.186891790000001,0.9389525580643374,1.251182244622923,0.47796150016504607,0.6245099209610279,73.89660000000002,12.515725220000004,0.9244444986627063,0.7809843725497259,0.414999926866033,1.5046381161311226,0.38120034492374577,17.339430988734247,12.27707183221213,8.534317519170655,38.15082034011703
267,Jeff Carter,C,37.7,75,219,1.6218876800000002,1.1457418699999988,0.7252750698313178,1.920362789412925,0.19394725883990196,0.5040848874261215,74.9622,12.367021719999995,1.3446746419726563,0.6669604118138842,0.38929587831669177,1.452084043990133,0.07859622733722914,17.08502627771018,11.375890371526628,9.598903110871486,38.0598197601083
268,Michael Rasmussen,C,23.5,78,211,0.8378701899999996,1.3925363299999995,0.7750220507143577,1.3832616686126313,0.20953450909640942,0.7700080898403708,72.11500000000001,12.674059400000008,0.9165077650155422,0.09694816398815606,0.45985640670668465,1.7381143509846053,0.055133964334297195,13.549751821373983,14.564794315973753,9.858844004587349,37.973390141935084
269,Alexander Radulov,R,36.2,73,200,1.8427662199999997,0.26922355,0.6951048449249669,1.234378236089057,0.2741775098340909,0.6309369493299083,73.80220000000003,11.528750969999999,1.5822849588209662,0.09442036681297947,0.3792093293998337,1.8453784466932268,0.028384253266257247,14.130802591338274,13.0,10.760383042204822,37.891185633543095
270,Luke Kunin,C,24.8,72,197,1.2135703000000004,1.1124413400000002,0.8246468759149657,1.6544987224109988,0.2405747934803501,0.6403074953818961,70.26790000000001,12.912622070000005,1.1948085292041797,0.2001693183397086,0.4033885606974758,1.4076443573580832,0.006901334394129345,16.250346339708674,12.980683283081095,8.519954115552347,37.750983738342114
271,Ryan Donato,C,26.5,72,190,1.2232680800000006,0.07335438,1.0879530017312369,2.326697528314319,0.35195026217134656,0.6288437798196542,72.82360000000001,11.077903270000004,1.3303300121376147,0.14510608203439487,0.3430945375537092,2.018253361491068,0.0017273512903308898,19.39316739427907,10.34216311915285,8.0,37.73533051343192
272,Jordan Staal,C,34.1,76,220,0.5155507399999997,2.0386072199999985,0.8880824726433059,1.3487585314014112,0.3210614037523355,0.5419808381829719,72.41099999999997,13.133469799999999,1.0543456734743812,0.3138543364071132,0.5656786540660983,1.921294803880822,0.01635307227001146,16.93853877352915,10.0,10.7700016129846,37.70854038651375
273,Alexander Kerfoot,C,28.1,71,186,0.5726196300000006,1.532336280000001,0.5544425985683503,1.2338660891417668,0.5309110717393393,0.7485241617860833,78.14110000000002,12.857816670000012,1.1202551809574228,0.3917535740725209,0.5430604338589456,1.8486474812249754,0.04658349073967546,11.26402852958051,14.57034493495831,11.815637360378478,37.6500108249173
274,Sven Baertschi,L,30.0,71,190,2.6046126700000007,0.14075035,0.7952601270195911,1.6124118005233337,0.0,0.4890730433860497,70.83789999999998,11.716608149999997,1.298304501274093,0.0,0.34013074485488354,1.0348544755464961,0.0,17.879252900149634,11.0,8.673059555104702,37.55231245525434
275,Erik Haula,L,31.5,71,191,1.057082639999999,1.48196504,0.6202809562455252,1.4027050209728762,0.6511354642218924,0.7223978608256582,69.52620000000003,13.103985899999998,0.944343660051805,0.39942890416037113,0.46146014213620823,2.075355542697997,0.06275893027741548,13.055746098161407,13.727536182097841,10.654064195696478,37.43734647595573
276,Filip Hronek,D,24.9,72,190,2.3575499299999985,1.6559542100000015,0.2590021352333827,1.15246393974333,0.04281667045426245,0.49405034937925607,70.20709999999997,18.229289960000013,2.1743832470811753,0.07730997471965935,0.40370661947141273,0.0,0.13730732130291556,9.468992859242658,18.057950655076908,9.619047657290777,37.14599117161034
277,Eetu Luostarinen,C,24.1,75,190,0.5462396299999996,2.087090080000001,0.7323851175114593,1.2778783108201357,0.2989852815123746,0.587604115936773,78.55149999999999,12.337693800000006,1.14874683402291,0.4042985508795721,0.5924856309665488,1.3886674880113776,0.021648191503406213,14.347641591177943,11.0,11.783782215180171,37.131423806358114
278,Pius Suter,C,26.4,71,179,0.6771521899999997,1.5420321199999996,0.8244058972467236,1.6376139240854868,0.9343631652319391,0.5771675018949567,78.40310000000002,13.219380989999996,1.2632669470581144,0.19194356884004696,0.3231026258126977,1.7808927166676238,0.019201517714062706,19.106661020669897,11.0,7.0,37.1066610206699
