,Player,Position,Age,Height,Weight,PP ATOI,PK ATOI,EV G/60,PP G/60,PK G/60,EV A1/60,GP,EV ATOI,PP A1/60,PK A1/60,EV A2/60
371,Jack Hughes,C,21.4,71,175,0.07908439660378803,0.0981951457700811,0.143235053464323,0.1575121322907158,0.1489994288398029,0.0435058992235352,2.209391072218769,0.35137102111836155,0.5865194001226143,0.17562986116219828,0.038443890119938394
372,Jack Johnson,D,35.7,73,227,0.0104132757865092,0.1220771804339678,0.0255714720192326,0.111453740803375,0.0303512089094899,0.07975363792360565,4.0681335228824524,0.851555873342865,0.2175084411875511,0.045784246460737976,0.06923590483806724
373,Jack McBain,C,22.7,75,201,0.14154761531332807,0.1446521166506301,0.0463121875461858,0.1895043338895644,0.1895469021691791,0.0477902296638245,4.333480673777143,0.47553504976850974,0.12009867796378783,0.10329460266544957,0.027545416042548697
374,Jack Quinn,R,21.0,73,185,0.4198407170809,0.1496287565677466,0.0549183248148839,0.1594810707758318,,0.052222577462496,3.668508247230746,0.2518955606155077,0.15700443847752177,,0.037373686778549194
375,Jack Rathbone,D,23.4,70,177,0.2166161319606606,0.3583034860646461,0.0232033530870087,0.1240310473587222,0.0451842991121296,0.035378823688713854,2.2010515759518228,0.6452310883754592,0.1428014545256942,0.0593052689065474,0.028933591018003645
376,Jack Roslovic,C,25.7,73,200,0.23047616020680997,0.323505571473114,0.1185247942652825,0.2410249120567152,0.1291008885358032,0.1314412464346151,1.8085230963413217,0.3103881323406319,0.13515037841444977,0.1313444118272203,0.04882998870119095
377,Jack Studnicka,C,23.6,73,187,0.15065551160414412,0.2246500244272818,0.0839646791321989,0.1510379990858256,0.1145152625158458,0.0409387970656393,4.7622595256873606,0.3151215890963168,0.10171438894270311,0.14508653753969702,0.04503981666103895
378,Jackson Cates,C,25.0,72,190,0.059064396311991584,0.180290493256769,0.0518052708362537,0.1188228094760865,0.1397244466322693,0.0435031134982991,3.4616042682548223,0.250991024833776,0.15186347449182636,0.1599397986501808,0.03713002616429996
379,Jacob Bernard-Docker,D,22.3,72,190,0.1728217270042791,0.2171855587907492,0.0129721765514658,0.1629810918525247,0.0617310407492243,0.019161249772068616,2.9061029902603246,0.3899427374169777,0.18777890973399652,0.06717284553737096,0.027912795945916998
380,Jacob Bryson,D,24.9,69,176,0.2029664820161545,0.1841814657001249,0.0195760392201767,0.1870212258132694,0.0789061237999662,0.03407017037563947,2.722213724159072,1.2735350343099199,0.16849918577780026,0.12871283457661667,0.037157450230416694
381,Jacob Larsson,D,25.4,74,193,0.0449668575036503,0.3121092451645723,0.0169731290900499,,0.0455882946718508,0.021277618675735292,2.981533114020369,0.35076226622147405,,0.01605092118532764,0.024954466861618143
382,Jacob MacDonald,D,29.6,72,204,0.0321582820922931,0.2212682184367225,0.0454783329646227,0.1524199621793301,0.0246764992464166,0.0434283194498751,3.223660681585455,0.5125649937147263,0.1808249744375535,0.04447428597014683,0.08222844352246739
383,Jacob Middleton,D,26.7,75,219,0.0535347125847323,0.2064086000735686,0.0276442024987084,0.178617927518111,0.0527140609060799,0.028735840797749438,1.9873496823659393,0.3957624211558576,0.19124156197737424,0.04107132247736372,0.035926763759759936
384,Jacob Moverare,D,24.1,75,210,0.026592955099304,0.2466168685051973,0.0160800055722751,0.1276843252359897,0.0121969432002079,0.02541350446829399,2.2499233298048176,0.4237478632656924,0.20238294996335504,0.03273536591700174,0.030061264821321165
385,Jacob Perreault,R,20.5,71,192,0.22659561254065003,0.0543761984027938,0.0468469742962083,0.197951786683999,,0.0444881825136743,4.286919308781074,0.34474109848699414,0.14599514029161753,,0.03832025961592117
