,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 EV ATOI,Y2 EV ATOI,Y3 EV ATOI,Y4 EV ATOI,Y5 EV ATOI,Y5 dEV ATOI
David Krejci 2014,David Krejci,2014,C,27.429,72,192,79.0,75.0,79.0,80,80,14.3205,14.9222,15.2314,15.9656,15.9121,0.8021750000000001
David Krejci 2015,David Krejci,2015,C,28.428,72,192,75.0,79.0,80.0,80,47,14.9222,15.2314,15.9656,15.9121,15.3723,-0.13552500000000123
David Krejci 2016,David Krejci,2016,C,29.427,72,192,79.0,80.0,80.0,47,72,15.2314,15.9656,15.9121,15.3723,15.5567,-0.06365000000000087
David Krejci 2017,David Krejci,2017,C,30.429,72,192,80.0,80.0,47.0,72,82,15.9656,15.9121,15.3723,15.5567,15.2276,-0.47407499999999914
David Krejci 2018,David Krejci,2018,C,31.429,72,192,80.0,47.0,72.0,82,64,15.9121,15.3723,15.5567,15.2276,14.4005,-1.1166750000000008
David Krejci 2019,David Krejci,2019,C,32.428,72,192,47.0,72.0,82.0,64,81,15.3723,15.5567,15.2276,14.4005,15.2578,0.11852499999999999
David Krejci 2020,David Krejci,2020,C,33.427,72,192,72.0,82.0,64.0,81,71,15.5567,15.2276,14.4005,15.2578,15.1104,-0.00024999999999941735
David Krejci 2021,David Krejci,2021,C,34.429,72,192,82.0,64.0,81.0,71,74,15.2276,14.4005,15.2578,15.1104,14.5183,-0.4807749999999995
Paul Stastny 2009,Paul Stastny,2009,C,22.763,72,193,,,,66,45,,,,14.7831,14.8293,0.046200000000000685
Paul Stastny 2010,Paul Stastny,2010,C,23.762,72,193,,,66.0,45,81,,,14.7831,14.8293,15.9842,1.177999999999999
Paul Stastny 2011,Paul Stastny,2011,C,24.762,72,193,,66.0,45.0,81,74,,14.7831,14.8293,15.9842,15.6257,0.4268333333333345
Paul Stastny 2012,Paul Stastny,2012,C,25.761,72,193,66.0,45.0,81.0,74,79,14.7831,14.8293,15.9842,15.6257,15.834,0.5284250000000004
Paul Stastny 2013,Paul Stastny,2013,C,26.763,72,193,45.0,81.0,74.0,79,68,14.8293,15.9842,15.6257,15.834,14.5446,-1.0236999999999998
Paul Stastny 2014,Paul Stastny,2014,C,27.763,72,193,81.0,74.0,79.0,68,71,15.9842,15.6257,15.834,14.5446,15.4056,-0.09152500000000074
Paul Stastny 2015,Paul Stastny,2015,C,28.762,72,193,74.0,79.0,68.0,71,74,15.6257,15.834,14.5446,15.4056,14.3755,-0.9769749999999995
