,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PK ATOI,Y2 PK ATOI,Y3 PK ATOI,Y4 PK ATOI,Y5 PK ATOI,Y1 PK A1/60,Y2 PK A1/60,Y3 PK A1/60,Y4 PK A1/60,Y5 PK A1/60,Y1 PK A2/60,Y2 PK A2/60,Y3 PK A2/60,Y4 PK A2/60,Y5 PK A2/60
Claude Giroux 2014,Claude Giroux,2014,R,25.72,71,190,82.0,82.0,77.0,82,82,0.9112,2.114,2.2565,1.7076,0.9362,0.0,1.0384,0.6906,0.0,0.0,0.0,0.3461,0.0,0.0,0.0
Claude Giroux 2015,Claude Giroux,2015,R,26.719,71,190,82.0,77.0,82.0,82,81,2.114,2.2565,1.7076,0.9362,0.766,1.0384,0.6906,0.0,0.0,0.0,0.3461,0.0,0.0,0.0,0.0
Claude Giroux 2016,Claude Giroux,2016,R,27.719,71,190,77.0,82.0,82.0,81,78,2.2565,1.7076,0.9362,0.766,1.481,0.6906,0.0,0.0,0.0,0.5194,0.0,0.0,0.0,0.0,0.0
Claude Giroux 2022,Claude Giroux,2022,R,33.72,71,190,82.0,82.0,81.0,79,75,0.7831,1.7305,0.9514,0.7284,0.814,0.0,0.0,0.9139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Claude Giroux 2023,Claude Giroux,2023,R,34.72,71,190,82.0,81.0,79.0,75,82,1.7305,0.9514,0.7284,0.814,0.9774,0.0,0.9139,0.0,0.0,0.7486,0.0,0.0,0.0,0.0,0.0
Jordan Staal 2012,Jordan Staal,2012,C,23.056,76,220,82.0,82.0,82.0,42,62,3.4587,3.5232,3.3677,2.5159,2.6586,0.0,0.6231,0.2173,1.1356,0.728,0.2116,0.0,0.0,0.0,0.0
Jordan Staal 2013,Jordan Staal,2013,C,24.058,76,220,82.0,82.0,42.0,62,82,3.5232,3.3677,2.5159,2.6586,2.1976,0.6231,0.2173,1.1356,0.728,0.5688,0.0,0.0,0.0,0.0,0.0
Jordan Staal 2014,Jordan Staal,2014,C,25.057,76,220,82.0,42.0,62.0,82,82,3.3677,2.5159,2.6586,2.1976,1.6396,0.2173,1.1356,0.728,0.5688,1.3388,0.0,0.0,0.0,0.0,0.0
Jordan Staal 2020,Jordan Staal,2020,C,31.056,76,220,82.0,75.0,79.0,50,80,1.775,1.5709,1.7361,1.823,2.3365,0.8245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Staal 2021,Jordan Staal,2021,C,32.058,76,220,75.0,79.0,50.0,80,77,1.5709,1.7361,1.823,2.3365,2.094,0.0,0.0,0.0,0.0,0.5406,0.0,0.0,0.0,0.0,0.0
Jordan Staal 2022,Jordan Staal,2022,C,33.058,76,220,79.0,50.0,80.0,77,78,1.7361,1.823,2.3365,2.094,2.2154,0.0,0.0,0.0,0.5406,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Staal 2023,Jordan Staal,2023,C,34.057,76,220,50.0,80.0,77.0,78,81,1.823,2.3365,2.094,2.2154,2.3543,0.0,0.0,0.5406,0.0,0.3146,0.0,0.0,0.0,0.0,0.0
Nicklas Backstrom 2017,Nicklas Backstrom,2017,C,28.858,73,202,82.0,82.0,82.0,75,82,1.5274,1.0069,0.9756,0.8971,0.7043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicklas Backstrom 2018,Nicklas Backstrom,2018,C,29.857,73,202,82.0,82.0,75.0,82,81,1.0069,0.9756,0.8971,0.7043,0.9243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicklas Backstrom 2019,Nicklas Backstrom,2019,C,30.856,73,202,82.0,75.0,82.0,81,80,0.9756,0.8971,0.7043,0.9243,0.9321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Toews 2012,Jonathan Toews,2012,C,23.423,74,201,64.0,82.0,76.0,80,59,1.5081,0.6384,1.5447,1.9462,1.9,1.2433,0.0,1.0221,0.3854,1.0705,0.0,0.0,0.5111,0.0,0.0
Jonathan Toews 2013,Jonathan Toews,2013,C,24.425,74,201,82.0,76.0,80.0,59,80,0.6384,1.5447,1.9462,1.9,1.4167,0.0,1.0221,0.3854,1.0705,0.9011,0.0,0.5111,0.0,0.0,0.0
Jonathan Toews 2014,Jonathan Toews,2014,C,25.424,74,201,76.0,80.0,59.0,80,76,1.5447,1.9462,1.9,1.4167,1.5586,1.0221,0.3854,1.0705,0.9011,1.0131,0.5111,0.0,0.0,0.0,0.0
Jonathan Toews 2015,Jonathan Toews,2015,C,26.424,74,201,80.0,59.0,80.0,76,81,1.9462,1.9,1.4167,1.5586,1.3798,0.3854,1.0705,0.9011,1.0131,0.5368,0.0,0.0,0.0,0.0,0.0
Jonathan Toews 2016,Jonathan Toews,2016,C,27.423,74,201,59.0,80.0,76.0,81,80,1.9,1.4167,1.5586,1.3798,1.4025,1.0705,0.9011,1.0131,0.5368,1.6043,0.0,0.0,0.0,0.0,0.0
Jonathan Toews 2017,Jonathan Toews,2017,C,28.425,74,201,80.0,76.0,81.0,80,72,1.4167,1.5586,1.3798,1.4025,1.2984,0.9011,1.0131,0.5368,1.6043,0.0,0.0,0.0,0.0,0.0,0.0
