,Player,Position,Age,Height,Weight,Projected A1,Projected A2,Projected Assists,StDev,5th Percentile,95th Percentile,90A Probability,80A Probability,70A Probability,60A Probability,50A Probability,40A Probability,30A Probability
689,Michael McCarron,R,28.6,78,232,3.0234100865721300,2.1951120973958700,5.218522183968000,1.2161714314055500,3.37112074220636,7.317901757849020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,Zach Bogosian,D,33.2,74,222,3.031358975125910,3.5071824104777800,6.53854138560369,1.3749366772063400,4.540651005348990,8.890303644677970,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691,Tyler Kleven,D,21.7,76,200,3.0270480272526800,3.4165088773076700,6.4435569045603600,1.7691409167033200,3.4674111896774300,9.357874184749460,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692,David Gustafsson,C,23.5,74,212,3.0053480922482400,1.4986911861233600,4.504039278371600,1.5579738237408000,2.4962592550518300,7.315668123017540,0.0,0.0,0.0,0.0,0.0,0.0,0.0
693,Buddy Robinson,R,32.0,78,232,3.0128394428901800,2.346461923743640,5.359301366633820,1.5977495717185300,3.1193830581180400,8.444086170744070,0.0,0.0,0.0,0.0,0.0,0.0,0.0
694,Patrik Nemeth,D,31.6,76,230,3.0239168277997000,4.436299789705130,7.460216617504830,1.3552566538196300,5.346133312317330,9.571724764646190,0.0,0.0,0.0,0.0,0.0,0.0,0.0
695,Dryden Hunt,L,27.9,72,193,3.034874028630690,2.1247169135978900,5.159590942228590,1.2150216900673900,3.413184298450530,7.36307304788588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
696,Dylan Gambrell,C,27.1,71,185,3.0461394817313100,2.718041075552420,5.764180557283720,1.3367022084336000,3.6384934078065000,8.05254287907935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
697,Spencer Stastney,D,23.7,72,184,3.0484612956361900,2.78355066466899,5.832011960305180,1.572771553969660,3.487271844556260,8.663204216303160,0.0,0.0,0.0,0.0,0.0,0.0,0.0
698,Egor Zamula,D,23.5,75,177,3.057041428075040,3.338347340485310,6.3953887685603500,1.9638089792488100,3.482104560363360,9.779515689184930,0.0,0.0,0.0,0.0,0.0,0.0,0.0
699,Martin Kaut,R,24.0,74,190,3.0626580234925200,2.765694864486250,5.828352887978760,1.514159891393590,3.3963280494800000,8.251089078100830,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,Nikita Nesterenko,C,22.1,74,183,3.067631962444100,1.979257176472650,5.046889138916750,1.483142387813030,2.8140723583960200,7.636365402138860,0.0,0.0,0.0,0.0,0.0,0.0,0.0
701,Alex Belzile,R,32.1,72,196,3.060071224152450,2.781133284552860,5.841204508705310,1.7136029531006800,3.455007044281870,8.905461943029230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702,Niko Mikkola,D,27.4,76,209,3.071279481991160,4.827633934036050,7.898913416027210,1.3606709101687600,5.484249154306800,9.888214181983310,0.0,0.0,0.0,0.0,0.0,0.0,0.0
703,Dysin Mayo,D,27.1,74,183,3.059008644000600,3.4804016632572400,6.53941030725784,1.5286927913489700,3.935147033320440,8.90215466734144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
704,Urho Vaakanainen,D,24.7,74,200,3.0702909910786900,3.6651556905229200,6.735446681601610,18.60228008644970,4.516256964215470,45.149764755064500,0.01,0.012,0.02,0.034,0.042,0.061,0.098
705,Vitali Kravtsov,R,23.8,75,186,3.0650801865755900,2.7762766304290300,5.841356817004620,1.4023678790743900,3.4495028099660800,8.029824428333910,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706,Riley Sheahan,C,31.8,74,214,3.055974142639170,1.7418864459205100,4.797860588559690,1.6113860783554500,2.40738513226372,7.432667562787510,0.0,0.0,0.0,0.0,0.0,0.0,0.0
707,Fredrik Olofsson,L,27.3,74,190,3.058634628613130,1.327957208586690,4.386591837199820,1.3928916440608800,2.314865048544440,6.945409981629420,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,Henry Thrun,D,22.6,74,190,3.0491429944409200,3.4654133072738700,6.514556301714790,1.6734562845098100,3.7825357583726300,9.256211381449840,0.0,0.0,0.0,0.0,0.0,0.0,0.0
